2026-02-08 14:31:45 | ALERT | REMOVIDO | 89e3036c31eb6dd727201206b640b37b7248df7d0c981138fb640b269bb68cd5  /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 14:31:45 | ALERT | REMOVIDO | ee3ba377df99727207aeb3a5680c2a336fa7a4f7e1ed1eea0036b7ec570ed7e4  /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 14:31:45 | INFO | NOVO/ALTERADO | 9149718c2857c209f9bb2d4c731669399d02a8b745c93d765b54086a5638ea07  /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 14:31:45 | INFO | NOVO/ALTERADO | b1bbecf6d13746b8df50f391363851a1a31d88bbc526cd6b22ceb31d47be21b9  /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 14:31:45 | INFO | NOVO/ALTERADO | 26ddda75e5473260c72f5cf5c93f1103a1000a76496f02f26f9c63f6485e7261  /var/www/shell/seguranca/integridade_v4.sh
2026-02-08 14:31:45 | ALERT | REMOVIDO | 42fbf5d414444d347a45368e82ac341342121a2affeaf22087bc3d1f59102cc2  /var/www/shell/seguranca/seg_v2.log
2026-02-08 14:31:45 | INFO | NOVO/ALTERADO | fa0958180552895ff73644b592a474f6f5b31c1d47fd0e4346d822219f5f481a  /var/www/shell/seguranca/seg_v2.log
2026-02-08 14:38:21 | ALERT | REMOVIDO | /var/www/shell/readme.txt
2026-02-08 14:38:21 | INFO | NOVO/ALTERADO | /var/www/shell/readme.txt
2026-02-08 14:38:21 | ALERT | REMOVIDO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 14:38:21 | ALERT | REMOVIDO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 14:38:21 | INFO | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 14:38:21 | INFO | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 14:38:21 | ALERT | REMOVIDO | /var/www/shell/seguranca/integridade_v4.sh
2026-02-08 14:38:21 | INFO | NOVO/ALTERADO | /var/www/shell/seguranca/integridade_v4.sh
2026-02-08 14:38:21 | INFO | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 14:43:05 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 14:43:05 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 14:43:05 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 14:43:05 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 14:43:05 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/integridade_v4.sh
2026-02-08 14:43:05 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/integridade_v4.sh
2026-02-08 14:43:05 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 14:43:05 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:15:05 | ALERT  | REMOVIDO      | /var/www/shell/readme.txt
